,epsilons,values,IDs,srcNode,dstNode,reqDR,provDR,PSD,linSNR,toa,tod,block,Action ID,Path ID,FS ID,Slots,Path length,configID,carry,rset lengths,zero slots,rset slots
84,,,65,3.0,14.0,489,500.0,2.7210884353741498e-05,14.910528216201705,0.10291206163167617,1.5113752450987048,0,3,1,0.0,9,4050,19.0,False,23,762,762
85,,,66,2.0,14.0,599,600.0,2.7210884353741498e-05,15.431397438084263,0.0343221958493236,3.551491151559549,0,1,0,1.0,9,3600,21.0,False,24,798,798
86,,,67,2.0,14.0,905,800.0,2.7210884353741498e-05,15.155964684780077,0.2701141975045071,15.206577007473864,1,8,2,2.0,12,3900,36.0,True,24,798,798
87,,,67,2.0,14.0,105.0,150.0,2.7210884353741498e-05,15.431397438084263,0.2701141975045071,15.206577007473864,0,1,0,1.0,3,3600,2.0,False,25,810,810
88,,,68,1.0,14.0,1103,850.0,2.7210884353741498e-05,15.392972705021098,0.16513190856376406,4.014492080158626,1,1,0,1.0,12,3600,37.0,True,23,771,771
89,,,68,1.0,14.0,253.0,300.0,2.7210884353741498e-05,15.392972705021098,0.16513190856376406,4.014492080158626,1,1,0,1.0,6,3600,8.0,False,23,771,771
90,,,69,3.0,9.0,1123,800.0,2.7210884353741498e-05,14.961523384881888,0.06903607664378988,2.90226836244286,1,4,1,1.0,12,4050,36.0,True,23,771,771
91,,,69,3.0,9.0,323.0,350.0,2.7210884353741498e-05,14.908463976217458,0.06903607664378988,2.90226836244286,0,6,2,0.0,6,4050,9.0,False,24,795,795
92,,,70,14.0,2.0,830,850.0,2.7210884353741498e-05,15.431397438084263,0.26270845918225294,6.504691974792453,1,5,1,2.0,12,3600,37.0,False,22,720,720
93,,,71,14.0,1.0,451,500.0,2.7210884353741498e-05,14.284480085719476,0.07344359307646861,10.809293060190797,0,6,2,0.0,9,4650,19.0,False,23,765,765
94,,,72,2.0,14.0,235,250.0,2.7210884353741498e-05,15.431397438084263,0.07713321445432975,20.029481710005168,0,1,0,1.0,6,3600,7.0,False,24,789,789
95,,,73,3.0,14.0,659,700.0,2.7210884353741498e-05,14.910528216201705,0.09943585029735652,2.510270573577451,1,5,1,2.0,12,4050,34.0,False,24,789,789
96,,,74,1.0,14.0,140,150.0,2.7210884353741498e-05,15.222667968180925,0.023007732046328486,4.906992495321385,0,3,1,0.0,3,3750,2.0,False,25,801,801
97,,,75,2.0,14.0,662,700.0,2.7210884353741498e-05,15.413727722231057,0.3140930587877191,27.305053719665107,0,3,1,0.0,12,3600,34.0,False,26,849,849
98,,,76,1.0,12.0,956,850.0,2.7210884353741498e-05,15.55604892978058,0.19707519514445726,24.878508451010084,0,1,0,1.0,12,3450,37.0,True,26,837,837
99,,,76,1.0,12.0,106.0,150.0,2.7210884353741498e-05,15.071434380244495,0.19707519514445726,24.878508451010084,0,4,1,1.0,3,3900,2.0,False,27,852,852
100,,,77,9.0,2.0,969,850.0,2.7210884353741498e-05,15.650667541136997,0.13658904817634637,4.52715244351155,1,2,0,2.0,12,3450,37.0,True,26,807,807
101,,,77,9.0,2.0,119.0,150.0,2.7210884353741498e-05,15.242623010661543,0.13658904817634637,4.52715244351155,0,7,2,1.0,3,3750,2.0,False,27,819,819
102,,,78,13.0,2.0,709,750.0,2.7210884353741498e-05,15.272852112295112,0.009204876958249494,0.26034735005089216,0,3,1,0.0,12,3750,35.0,False,28,879,879
103,,,79,13.0,1.0,120,150.0,2.7210884353741498e-05,15.071434380244495,0.021382604656260747,0.04648167553644025,0,3,1,0.0,3,3900,2.0,False,29,894,894
104,,,80,1.0,13.0,361,400.0,2.7210884353741498e-05,15.071434380244495,0.09493218280129008,2.8386893561521656,1,4,1,1.0,6,3900,10.0,False,29,894,894
105,,,81,13.0,1.0,498,500.0,2.7210884353741498e-05,14.41028222110052,0.04386945989088238,0.7387869484483685,1,8,2,2.0,9,4500,19.0,False,28,879,879
106,,,82,13.0,1.0,1071,800.0,2.7210884353741498e-05,15.071434380244495,0.08284059970697413,7.938519114388789,0,4,1,1.0,12,3900,36.0,True,29,939,939
107,,,82,13.0,1.0,271.0,300.0,2.7210884353741498e-05,14.41028222110052,0.08284059970697413,7.938519114388789,0,8,2,2.0,6,4500,8.0,False,30,963,963
108,,,83,9.0,2.0,382,400.0,2.7210884353741498e-05,15.242623010661543,0.07139300667883829,5.895184713547226,0,7,2,1.0,6,3750,10.0,False,31,987,987
109,,,84,2.0,13.0,1141,850.0,2.7210884353741498e-05,15.577600082016431,0.008097551407125134,3.0167804768797373,1,2,0,2.0,12,3450,37.0,True,30,927,927
110,,,84,2.0,13.0,291.0,300.0,2.7210884353741498e-05,15.31022410361729,0.008097551407125134,3.0167804768797373,1,4,1,1.0,6,3750,8.0,False,30,927,927
111,,,85,2.0,9.0,209,250.0,2.7210884353741498e-05,15.650667541136997,0.025044592000256098,20.84308254392053,0,0,0,0.0,6,3450,7.0,False,31,957,957
112,,,86,1.0,12.0,491,500.0,2.7210884353741498e-05,15.071434380244495,0.05424116066825235,15.18375262916209,0,4,1,1.0,9,3900,19.0,False,32,1002,1002
113,,,87,12.0,1.0,1057,850.0,2.7210884353741498e-05,15.55604892978058,0.08295806222999025,12.251371856891053,0,1,0,1.0,12,3450,37.0,True,33,1038,1038
114,,,87,12.0,1.0,207.0,250.0,2.7210884353741498e-05,14.565536703955605,0.08295806222999025,12.251371856891053,1,8,2,2.0,6,4350,7.0,False,33,1038,1038
115,,,88,12.0,1.0,796,800.0,2.7210884353741498e-05,15.55604892978058,0.06573370940180923,8.000479872562037,1,1,0,1.0,12,3450,36.0,False,33,1038,1038
116,,,89,2.0,13.0,425,450.0,2.7210884353741498e-05,15.577600082016431,0.01403222088584715,3.5279787061880903,0,1,0,1.0,6,3450,11.0,False,33,1020,1020
117,,,90,12.0,1.0,299,300.0,2.7210884353741498e-05,15.55604892978058,0.040104795519229165,7.30733114307907,1,1,0,1.0,6,3450,8.0,False,33,1020,1020
118,,,91,12.0,1.0,404,450.0,2.7210884353741498e-05,15.55604892978058,0.24089534117087325,5.420186435925983,1,1,0,1.0,6,3450,11.0,False,33,1020,1020
